length_km,ideal,"tha[1.4 V, 200 ps]","dual_naive[1.4 V, 200 ps]","dual_aware[1.4 V, 200 ps]","tha[1.4 V, 1.6 ns]","dual_naive[1.4 V, 1.6 ns]","dual_aware[1.4 V, 1.6 ns]","tha[2.0 V, 1.6 ns]","dual_naive[2.0 V, 1.6 ns]","dual_aware[2.0 V, 1.6 ns]"
96.0,0.0011637979647889265,0.0,0.0011637978993328444,0.0011637978961990551,0.0,0.001163797432180136,0.0011637974066813514,0.0,0.0011637966238695636,0.0011637965596709842
97.0,0.00111139822250636,0.0,0.001111398168064375,0.0011113981654558174,0.0,0.0011113977795133682,0.0011113977582930974,0.0,0.0011113971072054985,0.0011113970537816513
98.0,0.0010613584253424306,0.0,0.0010613583800594523,0.0010613583778900158,0.0,0.0010613580568858767,0.001061358039227436,0.0,0.0010613574976979542,0.0010613574532410076
99.0,0.0010135722206494342,0.0,0.001013572182986166,0.0010135721811802782,0.0,0.0010135719141875254,0.0010135718994934667,0.0,0.001013571449086897,0.001013571412092078
100.0,0.000967938054499232,0.0,0.0009679380231727226,0.000967938021670108,0.0,0.00096793779960139,0.0009679377873737464,0.0,0.0009679374127555767,0.0009679373819718016
101.0,0.0009243589546518681,0.0,0.0009243589285969368,0.0009243589273459637,0.0,0.0009243587426413107,0.0009243587324671577,0.0,0.0009243584208842933,0.0009243583952690873
102.0,0.0008827423233800552,0.0,0.0008827423017086285,0.0008827423006681711,0.0,0.0008827421470410325,0.0008827421385754184,0.0,0.0008827418794207989,0.0008827418581069615
103.0,0.000842999739704144,0.0,0.0008429997216789203,0.0008429997208132215,0.0,0.0008429995930347557,0.0008429995859906077,0.0,0.0008429993704429516,0.0008429993527077031
104.0,0.0008050467706075687,0.0,0.0008050467556144429,0.0008050467548947162,0.0,0.0008050466486163238,0.0008050466427546104,0.0,0.0008050464634751717,0.0008050464487188988
105.0,0.0007688027908132481,0.0,0.0007688027783434213,0.000768802777744046,0.0,0.0007688026893467991,0.0007688026844700453,0.0,0.0007688025353559798,0.0007688025230787554
106.0,0.0007341908107434902,0.0,0.0007341908003717206,0.0007341907998730485,0.0,0.0007341907263494693,0.0007341907222913368,0.0,0.000734190598268038,0.0007341905880523999
107.0,0.0007011373122730584,0.0,0.0007011373036464201,0.0007011373032313479,0.0,0.0007011372420781223,0.0007011372387022249,0.0,0.0007011371355461056,0.0007011371270472716
108.0,0.0006695720919309424,0.0,0.0006695720847553388,0.0006695720844105741,0.0,0.0006695720335461584,0.0006695720307377029,0.0,0.0006695719449398834,0.000669571937867452
109.0,0.0006394281112126334,0.0,0.000639428105244469,0.0006394281049572463,0.0,0.0006394280626515976,0.0006394280603143214,0.0,0.0006394279889524997,0.0006394279830687183
110.0,0.0006106413536660001,0.0,0.0006106413487018094,0.0006106413484632325,0.0,0.0006106413132753257,0.0006106413113310337,0.0,0.000610641251976821,0.0006106412470810834
111.0,0.0005831506884532011,0.0,0.000583150684324582,0.0005831506841255267,0.0,0.0005831506548584937,0.0005831506532405852,0.0,0.0005831506038726464,0.0005831505998000445
112.0,0.0005568977400940699,0.0,0.0005568977366599235,0.0005568977364945163,0.0,0.0005568977121508022,0.0005568977108057261,0.0,0.0005568976697438894,0.0005568976663559374
113.0,0.0005318267640997027,0.0,0.0005318267612431667,0.0005318267611057438,0.0,0.0005318267408578346,0.0005318267397386112,0.0,0.0005318267055866589,0.0005318267027673909
114.0,0.0005078845282411722,0.0,0.0005078845258651994,0.0005078845257510583,0.0,0.0005078845089103378,0.0005078845079786726,0.0,0.000507884479572656,0.0005078844772274493
115.0,0.0004850201991778354,0.0,0.00048502019720140865,0.00048502019710662346,0.0,0.00048502018309935676,0.0004850201823242973,0.0,0.0004850201586982225,0.00048502015674686035
116.0,0.0004631852342311466,0.0,0.0004631852325878602,0.0004631852325082537,0.0,0.0004631852208580085,0.00046318522021305034,0.0,0.00046318520056131974,0.00046318519893888524
117.0,0.00044233327803584743,0.0,0.00044233327666912234,0.0004423332766029138,0.0,0.00044233326691220837,0.000442333266376229,0.0,0.00044233325003108985,0.00044233324868118095
118.0,0.00042242006388038515,0.0,0.0004224200627435913,0.00042242006268852257,0.0,0.0004224200546285969,0.00042242005418233615,0.0,0.000422420040588014,0.000422420039464473
119.0,0.000403403319495869,0.0,0.0004034033185502484,0.0004034033185044402,0.0,0.00040340331180026853,0.0004034033114293971,0.0,0.0004034033001222828,0.00040340329918762095
120.0,0.00038524267709716154,0.0,0.00038524267631065624,0.0003852426762725561,0.0,0.0003852426706969658,0.00038524267038788566,0.0,0.00038524266098343606,0.00038524266020573426
121.0,0.0003678995875127733,0.0,0.0003678995868585712,0.00036789958682688064,0.0,0.0003678995821893662,0.00036789958193245,0.0,0.00036789957410952645,0.0003678995734631296
122.0,0.00035133723816907345,0.0,0.00035133723762502893,0.000351337237598673,0.0,0.00035133723374089845,0.0003513372335273491,0.0,0.0003513372270214336,0.0003513372264833419
123.0,0.00033552047479431233,0.0,0.00033552047434177036,0.0003355204743198484,0.0,0.00033552047111099056,0.00033552047093352586,0.0,0.00033552046552192414,0.0003355204650746751
124.0,0.00032041572665281957,0.0,0.0003204157262763375,0.00032041572625809896,0.0,0.0003204157235890421,0.0003204157234415885,0.0,0.00032041571894099045,0.0003204157185683752
125.0,0.0003059909351562226,0.0,0.0003059909348432661,0.0003059909348281066,0.0,0.0003059909326088669,0.00030599093248546874,0.0,0.00030599092874175263,0.0003059909284319847
126.0,0.0002922154857010547,0.0,0.00029221548544055247,0.0002922154854279332,0.0,0.0002922154835820697,0.0002922154834794222,0.0,0.0002922154803656709,0.00029221548010817475
