topology,n_requests,sampler,calibration,n_solver_runs,n_instances,mean_raw_feasible_read_rate,fraction_runs_with_any_feasible,mean_raw_request_conflicts,mean_raw_edge_violations,mean_raw_memory_violations,mean_raw_violation_count,mean_raw_overload_units,mean_raw_gap_on_feasible_runs_pct,mean_repaired_gap_pct,mean_B,mean_D,mean_B_ratio,mean_D_ratio,mean_sample_time_s
grid3x3_c4,8,sa,resource_aware,450,90,0.2822222222222222,0.2822222222222222,0.58,0.19111111111111112,0.7311111111111112,1.5022222222222221,2.566666666666667,99.90565709013961,87.83461978453533,4.281848237609719,4.281848237609719,0.997446169385532,0.997446169385532,0.1035219873173628
grid3x3_c4,8,sa,resource_aware_per,450,90,0.3111111111111111,0.3111111111111111,0.5355555555555556,0.20222222222222222,0.6755555555555556,1.4133333333333333,2.111111111111111,83.9626388780759,73.66136083051585,2.2401972170636695,2.2073750100826772,0.5192637980727114,0.5103246128302517,0.12546570529792614
grid3x3_c4,8,sqa,conventional,450,90,0.24888888888888888,0.24888888888888888,1.0911111111111111,0.02,0.024444444444444446,1.1355555555555557,0.057777777777777775,26.64746173473461,23.608928587367036,4.290501937054163,4.290501937054163,1.0,1.0,6.3493295037777475
grid3x3_c4,8,sqa,resource_aware,450,90,0.24888888888888888,0.24888888888888888,1.0911111111111111,0.02,0.024444444444444446,1.1355555555555557,0.057777777777777775,26.64746173473461,23.693499237628515,4.281848237609719,4.281848237609719,0.997446169385532,0.997446169385532,6.339803682418294
grid3x3_c4,8,sqa,resource_aware_per,450,90,0.36,0.36,0.8644444444444445,0.02,0.024444444444444446,0.9088888888888889,0.07333333333333333,23.432061740777407,19.37549313908314,2.2401972170636695,2.2073750100826772,0.5192637980727114,0.5103246128302517,6.404531200807089
grid4x4_c5,16,sa,conventional,450,90,0.0022222222222222222,0.0022222222222222222,2.14,1.6622222222222223,2.688888888888889,6.4911111111111115,9.511111111111111,106.14138170148847,90.14425362880924,4.255691286080752,4.255691286080752,1.0,1.0,0.21438958627068333
grid4x4_c5,16,sa,resource_aware,450,90,0.0022222222222222222,0.0022222222222222222,2.137777777777778,1.6666666666666667,2.688888888888889,6.493333333333333,9.517777777777777,106.14138170148847,90.15551096184474,4.164289584350974,4.255691286080752,0.9814170529033792,1.0,0.2140649986501214
grid4x4_c5,16,sa,resource_aware_per,450,90,0.03777777777777778,0.03777777777777778,1.3866666666666667,0.96,1.7866666666666666,4.133333333333334,6.102222222222222,67.38728135905066,69.54876220661174,1.899679621540855,2.0926955672421563,0.4510112249913974,0.4946707446158345,0.2572783256197969
grid4x4_c5,16,sqa,conventional,450,90,0.11333333333333333,0.11333333333333333,1.9555555555555555,0.017777777777777778,0.05333333333333334,2.026666666666667,0.08444444444444445,32.79465371724844,31.079718096444772,4.255691286080752,4.255691286080752,1.0,1.0,7.308750403251745
grid4x4_c5,16,sqa,resource_aware,450,90,0.11555555555555555,0.11555555555555555,1.96,0.015555555555555555,0.057777777777777775,2.033333333333333,0.08666666666666667,34.83697725534227,31.164071574674207,4.164289584350974,4.255691286080752,0.9814170529033792,1.0,7.34027833713335
