topology,instance_seed,n_requests,calibration,sampler,reads,sweeps,solver_seed,independent_reads,n_samples,n_distinct_samples,raw_feasible_rate,any_raw_feasible,repaired_gap_pct
chain10_c6,14,24,resource_aware_per,sa,10,10000,202,True,10,10,0.5,1.0,33.790245009380484
chain10_c6,14,24,resource_aware_per,sa,10,default,101,True,10,10,0.7,1.0,27.595132708623296
chain10_c6,14,24,resource_aware_per,sa,10,default,202,True,10,10,0.7,1.0,50.24746713487292
chain10_c6,14,24,resource_aware_per,sa,100,default,101,True,100,97,0.52,1.0,15.634361736408717
chain10_c6,14,24,resource_aware_per,sa,100,default,202,True,100,99,0.52,1.0,26.867932041546474
chain10_c6,15,8,conventional,sa,10,10000,101,True,10,10,0.2,1.0,37.27693636579312
chain10_c6,15,8,conventional,sa,10,10000,202,True,10,10,0.2,1.0,27.770795565242256
chain10_c6,15,8,conventional,sa,10,default,101,True,10,10,0.2,1.0,47.38649327577382
chain10_c6,15,8,conventional,sa,10,default,202,True,10,10,0.1,1.0,32.806503377082635
chain10_c6,15,8,conventional,sa,100,default,101,True,100,98,0.11,1.0,18.879490716510592
chain10_c6,15,8,conventional,sa,100,default,202,True,100,99,0.2,1.0,15.084060325663993
chain10_c6,15,8,resource_aware_per,sa,10,10000,101,True,10,10,0.7,1.0,17.31235879135542
chain10_c6,15,8,resource_aware_per,sa,10,10000,202,True,10,10,0.8,1.0,19.459720907198555
chain10_c6,15,8,resource_aware_per,sa,10,default,101,True,10,10,0.7,1.0,7.910923562875713
chain10_c6,15,8,resource_aware_per,sa,10,default,202,True,10,10,0.5,1.0,28.711495035248674
chain10_c6,15,8,resource_aware_per,sa,100,default,101,True,100,100,0.81,1.0,7.910923562875713
chain10_c6,15,8,resource_aware_per,sa,100,default,202,True,100,100,0.71,1.0,16.7547337923689
chain10_c6,15,16,conventional,sa,10,10000,101,True,10,10,0.4,1.0,47.7793454950746
chain10_c6,15,16,conventional,sa,10,10000,202,True,10,10,0.2,1.0,66.98498576284331
chain10_c6,15,16,conventional,sa,10,default,101,True,10,10,0.2,1.0,44.37114458715711
chain10_c6,15,16,conventional,sa,10,default,202,True,10,10,0.2,1.0,74.71893794700857
chain10_c6,15,16,conventional,sa,100,default,101,True,100,92,0.19,1.0,33.76305116929231
chain10_c6,15,16,conventional,sa,100,default,202,True,100,97,0.14,1.0,39.12631036029827
chain10_c6,15,16,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,3.1947180047339305
chain10_c6,15,16,resource_aware_per,sa,10,10000,202,True,10,10,0.6,1.0,23.011497129267177
chain10_c6,15,16,resource_aware_per,sa,10,default,101,True,10,10,0.6,1.0,11.824563381529781
chain10_c6,15,16,resource_aware_per,sa,10,default,202,True,10,10,0.6,1.0,29.406188106092387
chain10_c6,15,16,resource_aware_per,sa,100,default,101,True,100,100,0.46,1.0,11.824563381529781
chain10_c6,15,16,resource_aware_per,sa,100,default,202,True,100,100,0.5,1.0,14.162277836691706
chain10_c6,15,24,conventional,sa,10,10000,101,True,10,9,0.0,0.0,63.629188650883115
chain10_c6,15,24,conventional,sa,10,10000,202,True,10,10,0.0,0.0,74.38495925320696
chain10_c6,15,24,conventional,sa,10,default,101,True,10,9,0.0,0.0,53.3238796186396
chain10_c6,15,24,conventional,sa,10,default,202,True,10,10,0.1,1.0,74.38495925320696
chain10_c6,15,24,conventional,sa,100,default,101,True,100,85,0.05,1.0,53.3238796186396
chain10_c6,15,24,conventional,sa,100,default,202,True,100,92,0.06,1.0,56.43574418653248
chain10_c6,15,24,resource_aware_per,sa,10,10000,101,True,10,10,0.4,1.0,46.15060619293332
chain10_c6,15,24,resource_aware_per,sa,10,10000,202,True,10,10,0.8,1.0,22.401467052843802
chain10_c6,15,24,resource_aware_per,sa,10,default,101,True,10,10,0.4,1.0,29.04396645146731
chain10_c6,15,24,resource_aware_per,sa,10,default,202,True,10,10,0.6,1.0,18.899574146867632
chain10_c6,15,24,resource_aware_per,sa,100,default,101,True,100,100,0.5,1.0,29.04396645146731
chain10_c6,15,24,resource_aware_per,sa,100,default,202,True,100,100,0.44,1.0,18.899574146867632
chain10_c6,16,8,conventional,sa,10,10000,101,True,10,10,0.2,1.0,24.396892145399693
chain10_c6,16,8,conventional,sa,10,10000,202,True,10,10,0.1,1.0,24.396892145399693
chain10_c6,16,8,conventional,sa,10,default,101,True,10,10,0.0,0.0,24.396892145399693
chain10_c6,16,8,conventional,sa,10,default,202,True,10,10,0.1,1.0,47.01995218417405
chain10_c6,16,8,conventional,sa,100,default,101,True,100,89,0.25,1.0,16.687520918554902
chain10_c6,16,8,conventional,sa,100,default,202,True,100,92,0.28,1.0,16.687520918554902
chain10_c6,16,8,resource_aware_per,sa,10,10000,101,True,10,10,0.7,1.0,14.698638410548512
chain10_c6,16,8,resource_aware_per,sa,10,10000,202,True,10,10,0.7,1.0,29.631079799509916
chain10_c6,16,8,resource_aware_per,sa,10,default,101,True,10,10,0.8,1.0,17.6244189308181
chain10_c6,16,8,resource_aware_per,sa,10,default,202,True,10,10,0.6,1.0,14.698638410548512
chain10_c6,16,8,resource_aware_per,sa,100,default,101,True,100,100,0.66,1.0,7.7633027412121764
chain10_c6,16,8,resource_aware_per,sa,100,default,202,True,100,100,0.64,1.0,14.698638410548512
chain10_c6,16,16,conventional,sa,10,10000,101,True,10,10,0.1,1.0,43.36121783112605
chain10_c6,16,16,conventional,sa,10,10000,202,True,10,10,0.2,1.0,41.49554169257516
chain10_c6,16,16,conventional,sa,10,default,101,True,10,10,0.1,1.0,48.977374849047536
chain10_c6,16,16,conventional,sa,10,default,202,True,10,10,0.2,1.0,41.49554169257516
chain10_c6,16,16,conventional,sa,100,default,101,True,100,91,0.1,1.0,37.133365769885245
chain10_c6,16,16,conventional,sa,100,default,202,True,100,91,0.16,1.0,28.07308513827576
chain10_c6,16,16,resource_aware_per,sa,10,10000,101,True,10,10,0.2,1.0,38.24207253429301
chain10_c6,16,16,resource_aware_per,sa,10,10000,202,True,10,10,0.3,1.0,23.693828217752174
chain10_c6,16,16,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,29.02539039267542
chain10_c6,16,16,resource_aware_per,sa,10,default,202,True,10,10,0.4,1.0,43.887120627515635
chain10_c6,16,16,resource_aware_per,sa,100,default,101,True,100,100,0.37,1.0,24.181138337430653
chain10_c6,16,16,resource_aware_per,sa,100,default,202,True,100,100,0.43,1.0,22.416728820056544
chain10_c6,16,24,conventional,sa,10,10000,101,True,10,10,0.0,0.0,61.494879398148115
chain10_c6,16,24,conventional,sa,10,10000,202,True,10,10,0.1,1.0,67.11838337324353
chain10_c6,16,24,conventional,sa,10,default,101,True,10,10,0.0,0.0,54.74932037850655
chain10_c6,16,24,conventional,sa,10,default,202,True,10,10,0.2,1.0,67.11838337324353
chain10_c6,16,24,conventional,sa,100,default,101,True,100,94,0.06,1.0,44.450578290995395
chain10_c6,16,24,conventional,sa,100,default,202,True,100,90,0.06,1.0,52.02749297022543
chain10_c6,16,24,resource_aware_per,sa,10,10000,101,True,10,10,0.7,1.0,22.07911565496384
chain10_c6,16,24,resource_aware_per,sa,10,10000,202,True,10,10,0.6,1.0,39.75418432060981
chain10_c6,16,24,resource_aware_per,sa,10,default,101,True,10,10,0.7,1.0,21.256460815828078
chain10_c6,16,24,resource_aware_per,sa,10,default,202,True,10,10,0.3,1.0,35.68289730062191
chain10_c6,16,24,resource_aware_per,sa,100,default,101,True,100,100,0.48,1.0,21.256460815828078
chain10_c6,16,24,resource_aware_per,sa,100,default,202,True,100,100,0.5,1.0,28.728597690826714
chain10_c6,17,8,conventional,sa,10,10000,101,True,10,10,0.2,1.0,12.306860742396129
chain10_c6,17,8,conventional,sa,10,10000,202,True,10,10,0.5,1.0,12.669683437964709
chain10_c6,17,8,conventional,sa,10,default,101,True,10,10,0.1,1.0,33.94447830762569
chain10_c6,17,8,conventional,sa,10,default,202,True,10,10,0.6,1.0,27.063207268248668
chain10_c6,17,8,conventional,sa,100,default,101,True,100,98,0.27,1.0,0.3628226955685803
chain10_c6,17,8,conventional,sa,100,default,202,True,100,98,0.3,1.0,0.0
chain10_c6,17,8,resource_aware_per,sa,10,10000,101,True,10,10,0.3,1.0,34.307301003194276
chain10_c6,17,8,resource_aware_per,sa,10,10000,202,True,10,10,0.7,1.0,27.063207268248668
chain10_c6,17,8,resource_aware_per,sa,10,default,101,True,10,10,0.2,1.0,34.307301003194276
chain10_c6,17,8,resource_aware_per,sa,10,default,202,True,10,10,0.6,1.0,27.063207268248668
chain10_c6,17,8,resource_aware_per,sa,100,default,101,True,100,100,0.47,1.0,0.3628226955685803
chain10_c6,17,8,resource_aware_per,sa,100,default,202,True,100,100,0.42,1.0,12.57161989535477
chain10_c6,17,16,conventional,sa,10,10000,101,True,10,9,0.0,0.0,43.01970145513824
chain10_c6,17,16,conventional,sa,10,10000,202,True,10,10,0.1,1.0,67.32534037497246
chain10_c6,17,16,conventional,sa,10,default,101,True,10,9,0.0,0.0,43.01970145513824
chain10_c6,17,16,conventional,sa,10,default,202,True,10,10,0.0,0.0,58.58562798938505
chain10_c6,17,16,conventional,sa,100,default,101,True,100,85,0.07,1.0,43.01970145513824
chain10_c6,17,16,conventional,sa,100,default,202,True,100,80,0.1,1.0,35.75154376177081
chain10_c6,17,16,resource_aware_per,sa,10,10000,101,True,10,10,0.6,1.0,31.722220705024146
chain10_c6,17,16,resource_aware_per,sa,10,10000,202,True,10,10,0.4,1.0,31.722220705024146
chain10_c6,17,16,resource_aware_per,sa,10,default,101,True,10,10,0.5,1.0,31.315881935068887
chain10_c6,17,16,resource_aware_per,sa,10,default,202,True,10,10,0.5,1.0,48.007830419138806
chain10_c6,17,16,resource_aware_per,sa,100,default,101,True,100,99,0.5,1.0,24.12779982165972
chain10_c6,17,16,resource_aware_per,sa,100,default,202,True,100,100,0.48,1.0,19.05762794543004
chain10_c6,17,24,conventional,sa,10,10000,101,True,10,10,0.1,1.0,47.061732452295246
chain10_c6,17,24,conventional,sa,10,10000,202,True,10,10,0.0,0.0,37.72967119637848
chain10_c6,17,24,conventional,sa,10,default,101,True,10,10,0.1,1.0,47.061732452295246
chain10_c6,17,24,conventional,sa,10,default,202,True,10,10,0.0,0.0,37.72967119637848
chain10_c6,17,24,conventional,sa,100,default,101,True,100,84,0.03,1.0,41.99057603053481
chain10_c6,17,24,conventional,sa,100,default,202,True,100,88,0.01,1.0,37.72967119637848
