topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_per_resource_mean,B_per_resource_min,B_per_resource_max,B_per_resource_n,D_per_resource_mean,D_per_resource_min,D_per_resource_max,D_per_resource_n,B_ratio_per,D_ratio_per,B_tighter,D_tighter,B_n_tightened,D_n_tightened
chain8_c4,req16,32,16,24,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,1.0,1.0,2.2497983193286424,4.0410215e-06,4.0410255410215,7,2.4737017220402495,4.0410215e-06,4.0410255410215,8,0.5567394455913123,0.6121470148923982,False,False,6,6
chain8_c4,req24,32,24,39,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,4.0410255410215,1.0,1.0,2.6530692729000704,4.0410215e-06,4.0410255410215,7,2.8265638064152494,4.0410215e-06,4.0410255410215,8,0.6565336561147845,0.6994669491004365,False,False,6,6
chain8_c4,req8,33,8,12,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,1.0,1.0,0.7324887282393334,4.394906000000001e-06,4.394910394906001,6,0.6278481091917144,4.394906000000001e-06,4.394910394906001,7,0.16666749999916666,0.14285799999914287,False,False,5,6
chain8_c4,req16,33,16,28,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,1.0,1.0,3.507581764191714,2.817488484906,4.394910394906001,7,3.783093477406,3.5200215599059996,4.394910394906001,8,0.7981008596346445,0.8607896720239989,False,False,6,6
chain8_c4,req24,33,24,43,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,4.394910394906001,1.0,1.0,3.7170297513345716,3.083188394906,4.394910394906001,7,3.878543831781,3.5200215599059996,4.394910394906001,8,0.8457578010334093,0.8825080566549196,False,False,6,6
chain8_c4,req8,34,8,12,3.085103085099999,3.085103085099999,3.085103085099999,3.085103085099999,3.085103085099999,3.085103085099999,1.0,1.0,1.742445518433333,3.085099999999999e-06,3.085103085099999,6,1.1299888900480324,3.085099999999999e-06,3.085103085099999,7,0.5647932890310062,0.3662726524457141,False,False,4,6
chain8_c4,req16,34,16,24,3.358113828110469,3.358113828110469,3.358113828110469,3.358113828110469,3.358113828110469,3.358113828110469,1.0,1.0,2.625892229688314,0.6924835106104698,3.358113828110469,7,2.1611054681104696,3.358110469999999e-06,3.358113828110469,8,0.7819545030627628,0.6435474134378799,False,False,4,4
chain8_c4,req24,34,24,38,3.9578304828265254,3.9578304828265254,3.9578304828265254,3.9578304828265254,3.9578304828265254,3.9578304828265254,1.0,1.0,3.001578290162174,1.444214496371438,3.9578304828265254,7,3.180137496927104,1.9164359578265249,3.9578304828265254,8,0.7583898055225867,0.8035052311426881,False,False,5,5
chain8_c4,req8,35,8,15,4.1628346628305,4.1628346628305,4.1628346628305,4.1628346628305,4.1628346628305,4.1628346628305,1.0,1.0,1.4371343771162142,4.1628305e-06,4.1628346628305,7,2.2148239753305,4.1628305e-06,4.1628346628305,8,0.3452297517238029,0.5320470676163105,False,False,6,6
chain8_c4,req16,35,16,30,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,1.0,1.0,3.6248520792471433,5.786389999999999e-06,5.786395786389999,7,3.7191066374638155,5.786389999999999e-06,5.786395786389999,8,0.6264438543545612,0.6427328469669168,False,False,6,6
chain8_c4,req24,35,24,42,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,5.786395786389999,1.0,1.0,4.592728979247142,3.45536178639,5.786395786389999,7,4.565998924963815,2.7553290449805243,5.786395786389999,8,0.7937115172884573,0.7890920520340761,False,False,6,6
chain8_c4,req8,36,8,15,3.0717870717840006,3.0717870717840006,3.0717870717840006,3.0717870717840006,3.0717870717840006,3.0717870717840006,1.0,1.0,1.6099071878411426,3.0717840000000004e-06,3.0717870717840006,7,1.42193007600275,3.0717840000000004e-06,3.0717870717840006,8,0.524094655723047,0.4628999480673432,False,False,6,6
chain8_c4,req16,36,16,29,3.825983833480006,3.825983833480006,3.825983833480006,3.825983833480006,3.825983833480006,3.825983833480006,1.0,1.0,2.754408715594292,3.825980007499998e-06,3.825983833480006,7,2.8171038872175065,3.825980007499998e-06,3.825983833480006,8,0.7199216817100245,0.7363083614117494,False,False,4,4
chain8_c4,req24,36,24,47,3.970275970271999,3.970275970271999,3.970275970271999,3.970275970271999,3.970275970271999,3.970275970271999,1.0,1.0,3.5375096106148556,2.4588427151719987,3.970275970271999,7,3.7624980633969987,2.885220685271999,3.970275970271999,8,0.8909984185236637,0.9476666336469387,False,False,5,5
