topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,B_min,B_max,B_n,C,D,D_min,D_max,D_n,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,req16,10,202,16,25,78,sa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,0.07721629200386815,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,1.747676390351491,False,nan,89.636545522471
chain8_c4,req16,10,303,16,25,78,sa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,0.07591054198564962,100,1.0,0.0,0.0,0.0,0.0,0.0,-1.1814865579544596,-1.1814865579544596,True,107.00603511426446,107.00603511426446
chain8_c4,req16,10,404,16,25,78,sa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,0.0754306250018999,100,1.0,0.0,0.0,0.0,0.0,0.0,1.3325536915216558,1.332553691521656,True,92.09815982112656,92.09815982112656
chain8_c4,req16,10,505,16,25,78,sa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,0.07614775002002716,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,4.8340472678325614,False,nan,71.33483688457297
chain8_c4,req16,10,101,16,25,78,sqa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,6.05350162499235,100,1.0,0.0,0.0,0.0,0.0,0.0,13.459632454107497,13.459632454107497,True,20.18643211495161,20.18643211495161
chain8_c4,req16,10,202,16,25,78,sqa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,6.11827683300362,100,1.0,0.0,0.0,0.0,0.0,0.0,14.602982579661546,14.602982579661546,True,13.406540229089732,13.406540229089732
chain8_c4,req16,10,303,16,25,78,sqa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,6.125033040996641,100,1.0,0.0,0.0,0.0,0.0,0.0,9.98103444340617,9.981034443406168,True,40.8139878389697,40.81398783896971
chain8_c4,req16,10,404,16,25,78,sqa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,6.123236084007658,100,1.0,0.0,0.0,0.0,0.0,0.0,14.88021931418136,14.88021931418136,True,11.762568671450824,11.762568671450824
chain8_c4,req16,10,505,16,25,78,sqa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,6.066628082975512,100,1.0,0.0,0.0,0.0,0.0,0.0,11.090980505681362,11.090980505681364,True,34.23217695429666,34.23217695429665
chain8_c4,req24,10,101,24,34,87,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,20.97751395979956,True,OPTIMAL,0.002570125012425706,0.08469370799139142,100,0.0,0.0,1.0,1.0,2.0,4.0,nan,1.394006158356123,False,nan,93.3547599537889
chain8_c4,req24,10,202,24,34,87,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,20.97751395979956,True,OPTIMAL,0.002570125012425706,0.08549450000282377,100,0.0,0.0,2.0,1.0,3.0,5.0,nan,2.836700132748657,False,nan,86.47742464533789
